signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,potentialLoss
ASTRUSDT:LONG:0.06899,"04/19/2023, 10:00:22 AM","04/19/2023, 10:10:00 AM",ASTRUSDT,Binance Futures,LONG,10,0.07,0,4,0,-15.118,100,100,-15.118,0,-15.118,closed,0.07,0.07,0.07,0.07,0.073,0.074,0.077,0.082,0.086,0.091,0.096,0.099,0.069,40.051,55.106,100.412,160.631,225.962,286.323,356.625,406.902,-20.168
ARPAUSDT:LONG:0.04448,"04/19/2023, 10:00:30 AM","04/19/2023, 10:10:00 AM",ARPAUSDT,Binance Futures,LONG,10,0.045,0,4,0,-15.261,100,100,-15.261,0,-15.261,closed,0.045,0.045,0.045,0.045,0.047,0.048,0.05,0.053,0.056,0.058,0.062,0.064,0.044,40.088,55.286,100.441,160.793,225.991,286.344,356.828,407.048,-20.264
KNCUSDT:SHORT:0.7389,"04/19/2023, 11:00:54 AM","04/20/2023, 10:18:00 AM",KNCUSDT,Binance Futures,SHORT,10,0.728,0,4,0,-14.847,100,100,-14.847,0,-14.847,closed,0.725,0.727,0.729,0.732,0.696,0.685,0.652,0.609,0.562,0.519,0.469,0.433,0.739,39.89,54.796,99.517,159.282,223.879,283.644,353.347,403.037,-19.876
ANKRUSDT:SHORT:0.0356,"04/19/2023, 12:00:56 PM","06/10/2023, 06:21:00 AM",ANKRUSDT,Binance Futures,SHORT,10,0.035,0,3,8,120.555,100,75,90.416,0,90.416,closed,0.035,0.035,0.035,0.035,0.033,0.032,0.031,0.029,0.027,0.025,0.022,0.021,0.036,37.861,67.919,97.688,157.514,222.254,282.081,352.023,401.734,-28.902
INJUSDT:LONG:8.0465,"04/19/2023, 10:00:32 PM","04/20/2023, 01:17:00 AM",INJUSDT,Bybit USDT,LONG,10,8.195,0,4,0,-18.173,100,100,-18.173,0,-18.173,closed,8.288,8.227,8.166,8.105,8.603,8.853,9.102,9.601,10.141,10.64,11.222,11.638,8.047,38.069,68.175,98.281,158.431,223.65,283.861,354.027,404.223,-29.08
ICPUSDT:LONG:6.011,"04/20/2023, 12:00:20 AM","04/20/2023, 01:21:00 AM",ICPUSDT,Bybit USDT,LONG,10,6.122,0,4,0,-18.143,100,100,-18.143,0,-18.143,closed,6.191,6.145,6.1,6.054,6.427,6.613,6.799,7.172,7.576,7.948,8.383,8.693,6.011,38.12,68.163,98.207,158.456,223.712,283.799,354.062,404.135,-29.074
ANTUSDT:LONG:3.475,"04/20/2023, 02:00:31 AM","04/20/2023, 06:20:00 AM",ANTUSDT,Bybit USDT,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,3.585,3.558,3.532,3.505,3.72,3.825,3.935,4.15,4.385,4.6,4.85,5.03,3.475,37.657,66.946,97.629,157.601,223.152,283.124,352.859,403.068,-30.683
ICPUSDT:LONG:5.929,"04/20/2023, 05:00:32 AM","04/20/2023, 05:43:00 PM",ICPUSDT,Bybit USDT,LONG,10,6.085,0,2,1,20.932,100,50,10.466,0,10.466,closed,6.108,6.063,6.017,5.972,6.34,6.524,6.707,7.075,7.473,7.841,8.27,8.576,5.929,37.983,68.107,98.068,158.317,223.477,283.726,353.962,404.06,-29.306
ALICEUSDT:LONG:1.805,"04/20/2023, 11:01:47 AM","04/20/2023, 04:36:00 PM",ALICEUSDT,Binance Futures,LONG,10,1.838,0,4,0,-18.154,100,100,-18.154,0,-18.154,closed,1.859,1.845,1.832,1.818,1.939,1.986,2.042,2.154,2.275,2.387,2.517,2.61,1.805,43.034,68.316,98.44,158.687,223.776,284.024,353.954,403.981,-29.048
ICXUSDT:LONG:0.3078,"04/22/2023, 02:00:05 PM","04/22/2023, 04:08:00 PM",ICXUSDT,Binance Futures,LONG,10,0.313,0,4,0,-18.114,100,100,-18.114,0,-18.114,closed,0.317,0.315,0.312,0.31,0.331,0.339,0.348,0.367,0.388,0.407,0.429,0.445,0.308,43.218,68.139,98.423,158.36,223.659,283.912,354.259,404.416,-29.022
