signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,TP Pot. Profit 9,TP Pot. Profit 10,TP Pot. Profit 11,TP Pot. Profit 12,TP Pot. Profit 13,TP Pot. Profit 14,TP Pot. Profit 15,potentialLoss
0901,"02/09/2023, 07:06:16 PM","02/15/2023, 08:29:00 PM",ETH/USDT,,SHORT,10,1620,0,1,4,14.815,100,25,3.704,0,3.704,closed,1620,1650,1680,1710,1590,1570,1540,1500,1420,1320,1200,1065,,,,,,,,1765,18.519,30.864,49.383,74.074,123.457,185.185,259.259,342.593,,,,,,,,-89.506
0902,"02/10/2023, 05:22:42 PM","02/15/2023, 09:32:00 PM",BNB/USDT,,SHORT,10,311.923,0,3,4,15.475,100,75,11.606,0,11.606,closed,306,312,318,324,303,300,296,290,280,270,258,240,,,,,,,,334.5,9.804,19.608,32.68,52.288,84.967,117.647,156.863,215.686,,,,,,,,-93.137
0904,"02/12/2023, 06:47:46 PM","03/08/2023, 11:48:00 PM",TRX/USDT,,LONG,3,0.065,0,1,3,5.308,100,25,1.327,0,1.327,closed,0.065,0.061,0.057,0.053,0.067,0.07,0.073,0.078,0.085,0.095,0.105,0.12,0.135,0.155,0.18,,,,,0.047,9.231,23.077,36.923,60,92.308,138.462,184.615,253.846,323.077,415.385,530.769,,,,,-83.077
0905,"02/13/2023, 02:22:23 PM","03/03/2023, 02:30:00 AM",EGLD/USDT,,LONG,3,42.6,0,1,5,11.225,100,25,2.806,0,2.806,closed,42.6,39.933,37.267,34.6,43.5,44.7,46,48,52,59,70,85,105,125,146,,,,,30.75,6.338,14.789,23.944,38.028,66.197,115.493,192.958,298.592,439.437,580.282,728.169,,,,,-83.451
0907,"02/18/2023, 10:03:57 AM","02/18/2023, 02:22:00 PM",LTC/USDT,,SHORT,10,100.1,0,1,1,0.5,100,25,0.125,0,0.125,closed,100.1,102.2,104.3,106.4,99.1,98,96.8,95.5,94,92,88,82,75,67,57,,,,,111.1,9.99,20.979,32.967,45.954,60.939,80.919,120.879,180.819,250.749,330.669,430.569,,,,,-109.89
0908,"02/19/2023, 10:46:29 PM","02/20/2023, 02:48:00 AM",XTZ/USDT,,SHORT,10,1.189,0,2,2,2.026,100,50,1.013,0,1.013,closed,1.18,1.198,1.217,1.235,1.17,1.16,1.145,1.13,1.11,1.08,1.03,0.95,0.87,0.78,,,,,,1.29,8.475,16.949,29.661,42.373,59.322,84.746,127.119,194.915,262.712,338.983,,,,,,-93.22
0909,"02/20/2023, 12:17:47 PM",,XMR/USDT,,LONG,3,151.755,0,4,1,16.203,100,100,1.902,14.301,16.203,open,168.3,157.867,147.433,137,171,174,178,183,189,200,215,250,300,370,450,595,,,,123.8,4.813,10.16,17.291,26.203,36.898,56.506,83.244,145.633,234.759,359.537,502.139,760.606,,,,-79.323
0910,"02/21/2023, 10:50:20 AM","02/21/2023, 12:32:00 PM",DOT/USDT,,SHORT,10,7.32,0,1,1,0.478,100,25,0.12,0,0.12,closed,7.32,7.493,7.667,7.84,7.25,7.17,7.05,6.9,6.7,6.4,6.1,5.8,5.5,5.15,,,,,,8.08,9.563,20.492,36.885,57.377,84.699,125.683,166.667,207.65,248.634,296.448,,,,,,-103.825
0911,"02/22/2023, 12:19:57 PM","02/22/2023, 08:06:00 PM",BNB/USDT,,SHORT,10,307.5,0,1,1,0.488,100,25,0.122,0,0.122,closed,307.5,313.667,319.833,326,304.5,301,296,290,280,270,258,241,,,,,,,,338.9,9.756,21.138,37.398,56.911,89.431,121.951,160.976,216.26,,,,,,,,-102.114
0912,"02/23/2023, 11:25:02 AM","03/10/2023, 11:26:00 AM",ETC/USDT,,SHORT,10,22.4,0,1,8,169.375,100,25,42.344,0,42.344,closed,22.4,22.867,23.333,23.8,22.2,21.9,21.5,20.7,20,19,18,16.3,,,,,,,,24.62,8.929,22.321,40.179,75.893,107.143,151.786,196.429,272.321,,,,,,,,-99.107
