signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,TP1,TP2,TP3,TP4,TP5,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,potentialLoss
ALGO/USDT:LONG:0.148,"05/28/2023, 08:38:23 PM","05/31/2023, 06:48:00 AM",ALGO/USDT,,LONG,10,0.152,0,1,0,-28.234,100,100,-28.234,0,-28.234,closed,0.152,0.148,0.155,0.16,0.2,,,0.148,17.728,50.558,313.198,,,-28.234
HBAR/USDT:LONG:0.0492,"05/29/2023, 12:18:02 AM","06/05/2023, 05:19:00 PM",HBAR/USDT,,LONG,8,0.054,0,1,0,-69.759,100,100,-69.759,0,-69.759,closed,0.054,0.05,0.055,0.058,0.06,,,0.049,14.545,64.712,90.538,,,-69.759
DOT/USDT:LONG:5.1,"05/29/2023, 12:29:20 AM","06/05/2023, 05:25:00 PM",DOT/USDT,,LONG,3,5.548,0,1,0,-18.006,100,100,-18.006,0,-18.006,closed,5.548,5.195,5.67,5.8,7,,,5.1,6.597,13.627,78.515,,,-24.225
OP/USDT:SHORT:1.4207,"05/31/2023, 01:44:54 PM","05/31/2023, 09:38:00 PM",OP/USDT,,SHORT,10,1.376,0,1,0,-3.997,100,100,-3.997,0,-3.997,closed,1.376,,1.331,1.255,,,,1.421,32.485,87.936,,,,-32.485
SOL/USDT:SHORT:21.61,"05/31/2023, 04:22:06 PM","06/04/2023, 08:45:00 AM",SOL/USDT,,SHORT,6,20.45,0,1,0,-34.034,100,100,-34.034,0,-34.034,closed,20.45,21.3,20.06,19.49,17.61,,,21.61,11.443,28.166,83.325,,,-34.034
AVAX/USDT:LONG:13.526,"06/01/2023, 01:00:18 AM","06/05/2023, 05:52:00 PM",AVAX/USDT,,LONG,6,14.095,0,1,2,11.688,100,100,11.688,0,11.688,closed,14.095,13.652,14.309,14.578,15,,,13.526,9.11,20.56,38.524,,,-24.221
KEY/USDT:LONG:0.007127,"06/04/2023, 04:49:55 PM","06/05/2023, 01:50:00 PM",KEY/USDT,,LONG,6,0.008,0,1,1,1.882,100,100,1.882,0,1.882,closed,0.008,0.007,0.008,0.009,0.01,,,0.007,3.191,72.854,182.477,,,-58.572
MATIC/USDT:SHORT:0.8449,"06/06/2023, 12:34:36 AM","06/06/2023, 06:52:00 AM",MATIC/USDT,,SHORT,10,0.833,0,1,1,4.836,100,100,4.836,0,4.836,closed,0.833,,0.826,0.824,,,,0.845,7.688,10.691,,,,-14.895
ONEUSDT:LONG:0.01228,"06/06/2023, 04:18:41 PM","06/07/2023, 03:37:00 AM",ONEUSDT,,LONG,5,0.013,0,1,1,4.394,100,100,4.394,0,4.394,closed,0.013,0.013,0.013,0.014,0.016,,,0.012,11.814,28.582,109.756,,,-32.012
BNBUSDT:LONG:260,"06/06/2023, 04:21:30 PM","06/07/2023, 05:30:00 AM",BNBUSDT,,LONG,6,277.8,0,1,1,3.653,100,100,3.653,0,3.653,closed,277.8,,283,312,344,,,260,11.231,73.866,142.981,,,-38.445
SOLUSDT:LONG:19.05,"06/06/2023, 10:05:02 PM","06/07/2023, 12:01:00 PM",SOLUSDT,,LONG,5,20.61,0,1,0,-22.902,100,100,-22.902,0,-22.902,closed,20.61,19.41,21.1,22.1,25,,,19.05,11.887,36.148,106.502,,,-37.846
XRPUSDT:SHORT:0.5408,"06/07/2023, 04:49:14 PM","06/07/2023, 05:05:00 PM",XRPUSDT,,SHORT,5,0.522,0,1,1,1.589,100,100,1.589,0,1.589,closed,0.522,,0.52,0.478,0.44,,,0.541,2.106,42.321,78.705,,,-17.809
MATIC/USDT:SHORT:0.7834,"06/07/2023, 07:32:37 PM","06/08/2023, 05:30:00 AM",MATIC/USDT,,SHORT,10,0.768,0,1,2,18.69,100,100,18.69,0,18.69,closed,0.768,,0.759,0.756,,,,0.783,11.713,15.877,,,,-19.521
MATIC/USDT:SHORT:0.7834,"06/07/2023, 07:32:40 PM","06/08/2023, 05:30:00 AM",MATIC/USDT,,SHORT,10,0.768,0,1,2,18.69,100,100,18.69,0,18.69,closed,0.768,,0.759,0.756,,,,0.783,11.713,15.877,,,,-19.521
LDOUSDT:SHORT:2.7,"06/09/2023, 10:02:12 PM","07/01/2023, 12:29:00 PM",LDOUSDT,,SHORT,5,2.181,0,1,2,21.614,100,100,21.614,0,21.614,closed,2.181,2.23,2.14,2,1.6,,,2.7,9.399,41.495,133.196,,,-118.982
SANDUSDT:SHORT:0.4981,"06/09/2023, 10:04:58 PM","06/10/2023, 06:23:00 AM",SANDUSDT,,SHORT,5,0.47,0,1,3,46.855,100,100,46.855,0,46.855,closed,0.47,0.49,0.46,0.44,0.4,,,0.498,10.638,31.915,74.468,,,-29.894
AVAXUSDT:SHORT:14.4,"06/10/2023, 01:44:24 AM","06/10/2023, 06:25:00 AM",AVAXUSDT,,SHORT,10,13.72,0,1,3,120.47,100,100,120.47,0,120.47,closed,13.72,14.19,13.55,12.6,10.9,,,14.4,12.391,81.633,205.539,,,-49.563
SUIUSDT:LONG:0.5818,"06/10/2023, 07:42:48 PM","06/12/2023, 04:24:00 AM",SUIUSDT,,LONG,10,0.631,0,1,0,-77.387,100,100,-77.387,0,-77.387,closed,0.631,0.594,0.644,0.7,0.78,,,0.582,21.091,110.054,236.917,,,-77.387
KSMUSDT:SHORT:23.3,"06/14/2023, 10:17:11 PM","06/16/2023, 06:06:00 PM",KSMUSDT,,SHORT,5,21.56,0,1,1,4.978,100,100,4.978,0,4.978,closed,21.56,22.68,21.08,20,17,,,23.3,11.132,36.178,105.751,,,-40.353
IDUSDT:LONG:0.27859,"06/16/2023, 07:40:29 PM","06/17/2023, 04:17:00 PM",IDUSDT,,LONG,5,0.294,0,1,1,2.952,100,100,2.952,0,2.952,closed,0.294,0.284,0.299,0.31,0.36,,,0.279,8.856,27.929,113.079,,,-25.562
SANDUSDT:LONG:0.3615,"06/20/2023, 12:18:01 AM","06/20/2023, 04:07:00 AM",SANDUSDT,,LONG,10,0.386,0,1,1,4.813,100,100,4.813,0,4.813,closed,0.386,0.368,0.391,0.481,,,,0.362,11.649,244.37,,,,-64.199
AVAXUSDT:LONG:11,"06/20/2023, 11:47:43 PM","07/14/2023, 07:32:00 AM",AVAXUSDT,,LONG,10,12.05,0,1,3,134.076,100,100,134.076,0,134.076,closed,12.05,11.3,12.26,13.8,14.93,,,11,17.427,145.228,239.004,,,-87.137
