signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,TP Pot. Profit 9,TP Pot. Profit 10,TP Pot. Profit 11,potentialLoss
MATIC/USDT:SHORT:1.14,"04/09/2023, 08:45:10 AM","04/12/2023, 03:15:00 PM",MATIC/USDT,,SHORT,10,1.109,0,4,1,5.219,100,100,5.219,0,5.219,closed,1.098,1.105,1.113,1.12,1.08,1.06,1.04,1.01,0.98,,,,,,,1.14,16.393,34.608,52.823,80.146,107.468,,,,,,,-38.251
ETH/USDT:LONG:1800,"04/10/2023, 07:54:41 AM","04/12/2023, 04:17:00 AM",ETH/USDT,,LONG,10,1854.987,0,2,2,9.886,100,50,4.943,0,4.943,closed,1860,1850,1840,1830,1890,1930,1960,2010,2050,2100,,,,,,1800,16.129,37.634,53.763,80.645,102.151,129.032,,,,,,-32.258
JOE/USDT:LONG:0.57,"04/11/2023, 09:39:53 AM","04/12/2023, 12:21:00 AM",JOE/USDT,,LONG,10,0.615,0,1,2,8.13,100,25,2.033,0,2.033,closed,0.615,0.607,0.598,0.59,0.63,0.64,0.65,0.66,0.69,0.72,0.76,0.8,,,,0.57,24.39,40.65,56.911,73.171,121.951,170.732,235.772,300.813,,,,-73.171
KSM/USDT:LONG:32.4,"04/11/2023, 10:24:55 AM","04/12/2023, 01:31:00 AM",KSM/USDT,,LONG,10,33.6,0,1,1,3.571,100,25,0.893,0,0.893,closed,33.6,33.333,33.067,32.8,34.2,34.8,35.4,36.2,37.5,,,,,,,32.4,17.857,35.714,53.571,77.381,116.071,,,,,,,-35.714
BAL/USDT:SHORT:7.6,"04/11/2023, 09:09:30 PM","04/13/2023, 11:12:00 AM",BAL/USDT,,SHORT,10,7.09,0,1,2,8.698,100,25,2.174,0,2.174,closed,7.09,7.193,7.297,7.4,6.96,6.85,6.72,6.55,6.25,6,,,,,,7.6,18.336,33.85,52.186,76.164,118.477,153.738,,,,,,-71.932
IMX/USDT:LONG:1.02,"04/11/2023, 09:23:56 PM","04/19/2023, 10:10:00 AM",IMX/USDT,,LONG,10,1.081,0,4,5,72.654,100,100,72.654,0,72.654,closed,1.102,1.088,1.074,1.06,1.125,1.145,1.17,1.195,1.24,1.3,,,,,,1.02,20.871,39.02,61.706,84.392,125.227,179.673,,,,,,-74.41
ENS/USDT:LONG:12.8,"04/13/2023, 08:02:58 AM","04/19/2023, 10:35:00 AM",ENS/USDT,,LONG,10,13.358,0,2,5,44.482,100,50,22.241,0,22.241,closed,13.41,13.307,13.203,13.1,13.6,13.85,14.1,14.4,15,15.5,16,,,,,12.8,14.169,32.811,51.454,73.826,118.568,155.854,193.139,,,,,-45.488
WOO/USDT:LONG:0.22,"04/13/2023, 10:12:28 AM","04/13/2023, 11:15:00 AM",WOO/USDT,,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,0.244,0.24,0.235,0.23,0.25,0.254,0.259,0.263,0.267,0.268,0.279,0.292,0.306,0.32,,0.22,22.913,39.28,59.738,76.105,92.471,94.517,141.571,194.763,252.046,309.329,,-99.836
CELO/USDT:LONG:0.665,"04/14/2023, 11:37:13 AM","04/14/2023, 02:46:00 PM",CELO/USDT,,LONG,10,0.7,0,1,1,2.381,100,25,0.595,0,0.595,closed,0.7,0.693,0.687,0.68,0.71,0.724,0.735,0.748,0.78,0.82,,,,,,0.665,14.286,34.286,50,68.571,114.286,171.429,,,,,,-50
GRT/USDT:LONG:0.15,"04/14/2023, 03:24:47 PM","04/19/2023, 10:11:00 AM",GRT/USDT,,LONG,10,0.155,0,4,4,35.465,100,100,35.465,0,35.465,closed,0.157,0.156,0.154,0.153,0.16,0.163,0.166,0.169,0.176,0.184,0.19,,,,,0.15,20.408,39.541,58.673,77.806,122.449,173.469,211.735,,,,,-43.367
XEM/USDT:LONG:0.04,"04/15/2023, 09:41:21 AM","04/17/2023, 02:38:00 AM",XEM/USDT,,LONG,10,0.042,0,2,1,3.488,100,50,1.744,0,1.744,closed,0.042,0.042,0.041,0.041,0.043,0.044,0.044,0.045,0.047,0.049,0.051,0.052,,,,0.04,23.81,38.095,57.143,80.952,119.048,166.667,202.381,238.095,,,,-47.619
LPT/USDT:SHORT:6.7,"04/17/2023, 12:34:32 PM","05/01/2023, 09:15:00 PM",LPT/USDT,,SHORT,10,6.535,0,4,7,103.678,100,100,103.678,-0,103.678,closed,6.47,6.513,6.557,6.6,6.32,6.2,6.08,5.95,5.7,5.5,5.25,,,,,6.7,23.184,41.731,60.278,80.371,119.011,149.923,188.563,,,,,-35.549
EOS/USDT:SHORT:1.28,"04/17/2023, 02:42:48 PM","04/26/2023, 09:47:00 PM",EOS/USDT,,SHORT,10,1.217,0,2,7,95.863,100,50,47.932,-0,47.932,closed,1.21,1.223,1.237,1.25,1.185,1.16,1.14,1.115,1.07,1.03,1,,,,,1.28,20.661,41.322,57.851,78.512,115.702,148.76,173.554,,,,,-57.851
VET/USDT:LONG:0.0244,"04/18/2023, 10:04:12 AM","04/18/2023, 07:51:00 PM",VET/USDT,,LONG,10,0.026,0,1,1,1.923,100,25,0.481,0,0.481,closed,0.026,0.026,0.025,0.025,0.026,0.027,0.027,0.028,0.029,0.03,0.031,0.032,,,,0.024,15.385,34.615,53.846,73.077,115.385,153.846,200,230.769,,,,-61.538
BAND/USDT:LONG:1.7,"04/18/2023, 10:24:15 AM","04/18/2023, 04:26:00 PM",BAND/USDT,,LONG,10,2.037,0,1,1,2.651,100,25,0.663,0,0.663,closed,2.037,1.975,1.912,1.85,2.08,2.12,2.16,2.2,2.3,2.4,2.5,2.6,,,,1.7,21.21,40.848,60.487,80.126,129.222,178.319,227.416,276.512,,,,-165.357
BLZ/USDT:SHORT:0.092,"04/19/2023, 02:30:45 PM","05/08/2023, 08:00:00 PM",BLZ/USDT,,SHORT,10,0.085,0,2,9,131.729,100,50,65.865,0,65.865,closed,0.085,0.086,0.087,0.088,0.083,0.082,0.08,0.079,0.076,0.072,0.069,0.066,0.06,,,0.092,18.913,36.643,54.374,72.104,107.565,148.936,184.397,219.858,290.78,,,-87.47
SUSHI/USDT:SHORT:1.18,"04/19/2023, 02:41:54 PM","05/08/2023, 03:44:00 AM",SUSHI/USDT,,SHORT,10,1.125,0,2,7,88.871,100,50,44.435,0,44.435,closed,1.12,1.13,1.14,1.15,1.1,1.08,1.06,1.035,1,0.97,0.93,,,,,1.18,17.857,35.714,53.571,75.893,107.143,133.929,169.643,,,,,-53.571
HOT/USDT:SHORT:0.00208,"04/21/2023, 11:23:52 AM","04/26/2023, 12:39:00 PM",HOT/USDT,,SHORT,10,0.002,0,1,3,17.487,100,25,4.372,-0,4.372,closed,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,,,0.002,25.907,46.632,67.358,88.083,119.171,160.622,191.71,222.798,,,,-77.72
UNFI/USDT:SHORT:5.35,"04/21/2023, 11:43:43 AM","04/23/2023, 02:31:00 PM",UNFI/USDT,,SHORT,10,5.025,0,1,4,25.373,100,25,6.343,0,6.343,closed,5.025,5.083,5.142,5.2,4.92,4.82,4.72,4.62,4.45,4.25,4.1,4,,,,5.35,20.896,40.796,60.697,80.597,114.428,154.229,184.08,203.98,,,,-64.677
CRV/USDT:SHORT:1.02,"04/23/2023, 08:43:36 AM","04/26/2023, 12:44:00 PM",CRV/USDT,,SHORT,10,0.957,0,4,2,13.344,100,100,13.344,0,13.344,closed,0.935,0.95,0.965,0.98,0.92,0.905,0.885,0.865,0.82,0.78,0.75,,,,,1.02,16.043,32.086,53.476,74.866,122.995,165.775,197.861,,,,,-90.909
CTSI/USDT:SHORT:0.27,"04/23/2023, 11:59:22 AM","04/23/2023, 03:47:00 PM",CTSI/USDT,,SHORT,10,0.243,0,1,1,2.286,100,25,0.572,0,0.572,closed,0.243,0.247,0.251,0.255,0.238,0.234,0.23,0.226,0.218,0.21,0.2,0.192,0.18,,,0.27,20.576,37.037,53.498,69.959,102.881,135.802,176.955,209.877,259.259,,,-111.111
TOMO/USDT:LONG:0.68,"04/24/2023, 08:29:17 PM","04/25/2023, 10:13:00 AM",TOMO/USDT,,LONG,10,0.724,0,4,1,5.161,100,100,5.161,0,5.161,closed,0.738,0.729,0.719,0.71,0.75,0.765,0.78,0.795,0.83,0.855,0.88,,,,,0.68,16.26,36.585,56.911,77.236,124.661,158.537,192.412,,,,,-78.591
ALICE/USDT:SHORT:1.68,"04/24/2023, 10:24:56 PM","04/25/2023, 10:06:00 PM",ALICE/USDT,,SHORT,10,1.53,0,1,1,2.451,100,25,0.613,0,0.613,closed,1.53,1.56,1.59,1.62,1.5,1.47,1.44,1.415,1.37,1.33,1.29,1.25,,,,1.68,19.608,39.216,58.824,75.163,104.575,130.719,156.863,183.007,,,,-98.039
1INCH/USDT:SHORT:0.505,"04/25/2023, 07:22:48 AM","04/26/2023, 02:29:00 PM",1INCH/USDT,,SHORT,10,0.483,0,4,0,-45.671,100,100,-45.671,0,-45.671,closed,0.476,0.481,0.485,0.49,0.466,0.458,0.45,0.442,0.428,0.414,0.4,,,,,0.505,21.008,37.815,54.622,71.429,100.84,130.252,159.664,,,,,-60.924
ETH/USDT:SHORT:1890,"04/25/2023, 11:26:08 AM","04/26/2023, 11:33:00 AM",ETH/USDT,,SHORT,10,1839.879,0,4,0,-27.241,100,100,-27.241,0,-27.241,closed,1820,1833.333,1846.667,1860,1790,1760,1720,1680,1620,1550,,,,,,1890,16.484,32.967,54.945,76.923,109.89,148.352,,,,,,-38.462
ZIL/USDT:SHORT:0.032,"04/26/2023, 10:28:22 AM","06/05/2023, 05:59:00 PM",ZIL/USDT,,SHORT,10,0.03,0,4,8,139.053,100,100,139.053,0,139.053,closed,0.029,0.03,0.03,0.031,0.029,0.028,0.027,0.027,0.026,0.025,0.024,0.022,,,,0.032,23.891,44.369,64.846,85.324,119.454,153.584,197.952,249.147,,,,-92.15
EGLD/USDT:LONG:40,"04/28/2023, 11:39:37 AM","05/02/2023, 05:18:00 AM",EGLD/USDT,,LONG,10,43.109,0,4,0,-72.113,100,100,-72.113,0,-72.113,closed,44.25,43.5,42.75,42,45.2,46.2,47,48,50,52,54.5,58,,,,40,21.469,44.068,62.147,84.746,129.944,175.141,231.638,310.734,,,,-96.045
LINA/USDT :LONG:0.01145,"04/29/2023, 09:08:31 AM","04/29/2023, 09:29:00 AM",LINA/USDT,,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,0.013,0.013,0.012,0.012,0.013,0.013,0.014,0.014,0.015,0.015,0.016,,,,,0.011,15.385,34.615,53.846,73.077,123.077,176.923,230.769,,,,,-119.231
CELR/USDT:SHORT:0.026,"05/01/2023, 10:20:39 AM","05/03/2023, 11:25:00 PM",CELR/USDT,,SHORT,10,0.023,0,1,2,4.662,100,25,1.166,0,1.166,closed,0.023,0.024,0.024,0.025,0.023,0.023,0.022,0.022,0.021,0.02,0.019,0.018,0.017,0.016,0.015,0.026,17.094,34.188,59.829,68.376,106.838,145.299,175.214,213.675,273.504,316.239,358.974,-111.111
VET/USDT:SHORT:0.0228,"05/02/2023, 11:15:25 AM","05/02/2023, 04:31:00 PM",VET/USDT,,SHORT,10,0.021,0,1,1,2.647,100,25,0.662,0,0.662,closed,0.021,0.022,0.022,0.022,0.021,0.02,0.02,0.02,0.019,0.018,0.018,0.017,,,,0.023,21.176,40,58.824,77.647,115.294,143.529,171.765,200,,,,-72.941
REEF/USDT:SHORT:0.00272,"05/02/2023, 11:32:56 AM","05/03/2023, 11:13:00 PM",REEF/USDT,,SHORT,10,0.003,0,2,2,7.009,100,50,3.504,0,3.504,closed,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,,,,0.003,15.385,30.769,53.846,76.923,107.692,138.462,169.231,192.308,,,,-46.154
ONE/USDT:SHORT:0.021,"05/03/2023, 08:50:34 AM","05/03/2023, 07:43:00 PM",ONE/USDT,,SHORT,10,0.019,0,1,1,2.66,100,25,0.665,0,0.665,closed,0.019,0.019,0.02,0.02,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.015,,,,0.021,21.277,42.553,58.511,74.468,106.383,138.298,170.213,202.128,,,,-117.021
RSR/USDT:SHORT:0.00395,"05/03/2023, 12:09:42 PM","05/03/2023, 09:04:00 PM",RSR/USDT,,SHORT,10,0.004,0,1,2,5.602,100,25,1.401,0,1.401,closed,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,,,,0.004,14.006,30.812,47.619,64.426,98.039,131.653,173.669,215.686,,,,-106.443
XRP/USDT:SHORT:0.48,"05/03/2023, 08:55:33 PM","05/18/2023, 12:18:00 PM",XRP/USDT,,SHORT,10,0.463,0,4,4,29.638,100,100,29.638,0,29.638,closed,0.456,0.461,0.465,0.47,0.448,0.44,0.432,0.422,0.405,0.39,0.37,0.36,,,,0.48,17.544,35.088,52.632,74.561,111.842,144.737,188.596,210.526,,,,-52.632
IOTX/USDT:LONG:0.0241,"05/03/2023, 10:04:14 PM","05/03/2023, 11:21:00 PM",IOTX/USDT,,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,0.025,0.025,0.025,0.024,0.025,0.026,0.026,0.027,0.027,0.028,0.029,,,,,0.024,16.194,36.437,60.729,85.02,109.312,133.603,174.089,,,,,-24.291
WOO/USDT:LONG:0.265,"05/04/2023, 12:13:19 PM","05/06/2023, 04:06:00 PM",WOO/USDT,,LONG,10,0.29,0,2,4,31.902,100,50,15.951,0,15.951,closed,0.294,0.287,0.281,0.275,0.3,0.306,0.312,0.318,0.33,0.342,0.355,0.37,,,,0.265,21.798,42.234,62.67,83.106,123.978,164.85,209.128,260.218,,,,-97.411
BNX/USDT:LONG:0.57,"05/05/2023, 10:20:26 AM","05/05/2023, 12:45:00 PM",BNX/USDT,,LONG,10,0.607,0,1,1,1.647,100,25,0.412,0,0.412,closed,0.607,0.598,0.589,0.58,0.615,0.625,0.636,0.648,0.67,0.695,0.72,0.74,,,,0.57,13.18,29.654,47.776,67.545,103.789,144.975,186.161,219.11,,,,-60.956
